Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Pages,Issue,Volume,Journal Abbreviation,Language,Rights,Archive,Archive Location,Notes,Manual Tags
ER5TI3G5,book,1967,"Glaser, B.G.; Strauss, A.L.",The discovery of grounded theory: Strategies for qualitative research,,,,,,1967,9/29/25 19:28,,,,,,,,,,
3MUUCC8U,book,1986,"Bandura, Albert",Social foundations of thought and action: A social cognitive theory,,,,,,1986,9/29/25 19:27,,,,,,,,,,
39B4SMEL,book,1990,"Senge, P.",The fifth discipline: The art & practice of the learning organization,,,,,,1990,9/29/25 19:28,,,,,,,,,,Decision Intelligence; Finance/Advisory; Foundational; Systems Thinking
9US3FAH3,book,1995,"Thornton, Sarah","Club cultures: Music, media and subcultural capital",,,,,,11/23/95,9/29/25 19:28,,,,,,,,,,
6ZLHBNJN,book,2000,"Sterman, J. D.",Business dynamics: Systems thinking and modeling for a complex world,,,,,,2000,9/29/25 19:28,,,,,,,,,,Decision Intelligence; Finance/Contracts; Foundational; Systems Thinking
AGSPCBS9,book,2008,"Gillborn, D.",Racism and education: Coincidence or conspiracy?,,,,,,2008,9/29/25 19:28,,,,,,,,,,
SCEKJ6JF,book,2008,"Thaler, R. H. and Sunstein, C. R.","Nudge: Improving decisions about health, wealth, and happiness",,,,,,2008,9/29/25 19:28,,,,,,,,,,Behavioral Economics; Decision Intelligence; Finance/Wealth; Foundational
MREBUE8Z,book,2008,"Ariely, D.",Predictably irrational: The hidden forces that shape our decisions,,,,,,2008,9/29/25 19:28,,,,,,,,,,Behavioral Economics; Decision Intelligence; Finance/Contracts; Foundational
6EBZ38EL,book,2008,"Meadows, D. H.",Thinking in systems: A primer,,,,,,2008,9/29/25 19:28,,,,,,,,,,Decision Intelligence; Finance/Wealth; Foundational; Systems Thinking
EBYYVJV8,book,2011,"Kahneman, D.","Thinking, fast and slow",,,,,,2011,9/29/25 19:28,,,,,,,,,,Behavioral Economics; Decision Intelligence; Foundational; Systems Thinking
QWEEVNEZ,book,2011,"O’Neal, S.",Shaq Uncut: My Story,,,,https://books.google.com/books?id=Vh1ozQEACAAJ,,2011,9/29/25 19:28,,,,,,,,,,
4KUF2B4N,book,2012,"Wilson, Richard C.",The Family Office Book: Investing Capital for the Ultra-Affluent,,,,,,8/7/12,9/29/25 19:28,,,,,,,,,,
YP9KF5TH,book,2012,"Nasir, N.S.",Racialized identities: Race and achievement among African-American youth,,,,,,2012,9/29/25 19:28,,,,,,,,,,
G6WQNPLZ,journalArticle,2021,"Hong, Hee Jung; Fraser, Ian",‘My Sport Won’t Pay the Bills Forever’: High-Performance Athletes’ Need for Financial Literacy and Self-Management,Journal of Risk and Financial Management,19118074,10.3390/jrfm14070324,,"This paper investigates high-performance athletes’ development of their financial literacy and self-management skills and the related organisational support available to them during their athletic careers. The data were collected from 20 retired high-performance athletes (10 male and 10 female) representing six different countries (Japan, Mexico, Portugal, Singapore, South Korea, and the UK). Thematic analysis was applied to the processing of the data and five themes emerged: (1) Funding battles: financial challenges and misjudgements; (2) Coping Strategies; (3) Support from sponsors, parents, and sport organisations; (4) Development of Financial Literacy; and (5) Life After Sport. The data indicates that athletes experienced financial challenges due to a lack of organisational support, reduced or terminated funding, and limited opportunities to access sponsorship. Typically, athletes developed their financial literacy and self-management skills by ‘self-help’ or ‘trial and error’. The findings contribute to both literature and practice by providing empirical evidence on the coping strategies adopted by athletes in order to overcome financial challenges and on the methods used in order to develop their financial literacy and self-management skills. These findings inform sport organisations and governing bodies to develop support schemes for high-performance athletes as well as deepen our knowledge of athletes’ career development and transitions focusing on the financial aspect.",7/1/21,9/29/25 19:27,,7,14,,,,,,,career development and management; career transitions in sport; financial literacy and self-management; financial well-being; organisational support
5586GXBZ,book,2013,"Brinkmann, Svend",Qualitative interviewing,,,,,,2013,9/29/25 19:27,,,,,,,,,,
